ano_campeonato,data,horario,fase,tipo_fase,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,penalti,gols_penalti_mandante,gols_penalti_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
2020,2020-12-23,20:30:00,Semi-Finais ,Jogos De Ida,Arena do Grêmio,,0,60540,Grêmio,São Paulo,Renato Portaluppi,Fernando Diniz,55750000,28100000,28.8,27.9,1,0,,,0,,,,,,,,,,,,,,,,
2020,2020-10-28,18:00:00,Oitavas De Final ,Jogos De Ida,Estádio Antonio Accioly,,0,13000,Atlético-GO,Internacional,Eduardo Souza,Eduardo Coudet,6900000,18200000,24.3,27,1,2,,,0,,,,,,,,,,,,,,,,
2020,2020-10-28,20:30:00,Oitavas De Final ,Jogos De Ida,Arena do Grêmio,,0,60540,Grêmio,Juventude,Renato Portaluppi,Pintado,48800000,3630000,29,30.1,1,0,,,0,,,,,,,,,,,,,,,,
2020,2020-09-23,21:30:00,4ª Eliminatória ,Jogos De Volta,Estádio São Januário,,0,24584,Vasco da Gama,Botafogo,Ramon Menezes,Paulo Autuori,23800000,11000000,27.2,27.4,0,0,,,0,,,,,,,,,,,,,,,,
2020,2020-08-25,16:00:00,3ª Eliminatória ,Jogos De Volta,Estádio Vianão,,0,1735,Afogados,Ponte Preta,,,,,,,0,2,,,0,,,,,,,,,,,,,,,,
2020,2020-08-25,19:00:00,3ª Eliminatória ,Jogos De Volta,Estádio Raimundo Sampaio,,0,25000,América-MG,Ferroviária,Lisca,Dado Cavalcanti,4080000,900000,27.8,30.7,1,0,,,0,,,,,,,,,,,,,,,,
2020,2020-08-25,21:30:00,3ª Eliminatória ,Jogos De Volta,Estádio Jornalista Mário Filho,,0,82238,Fluminense,Figueirense FC,Odair Hellmann,Marcio Coelho,20180000,2250000,26.6,29.4,3,0,,,0,,,,,,,,,,,,,,,,
2020,2020-08-26,16:00:00,3ª Eliminatória ,Jogos De Volta,Estádio Rei Pelé,,0,20000,CRB,Cruzeiro,Marcelo Cabo,Enderson Moreira,4630000,5150000,30.4,27.6,1,1,,,0,,,,,,,,,,,,,,,,
2020,2020-08-26,19:00:00,3ª Eliminatória ,Jogos De Volta,Estádio Durival Britto e Silva,,0,20083,Paraná,Botafogo,Allan Aal,Paulo Autuori,2300000,10880000,25.4,26.4,1,2,,,0,,,,,,,,,,,,,,,,
2020,2020-08-26,21:30:00,3ª Eliminatória ,Jogos De Volta,Estádio Manoel Barradas,,0,35632,EC Vitória,Ceará SC,Bruno Pivetti,Guto Ferreira,3130000,6600000,27.5,29.3,3,4,,,0,,,,,,,,,,,,,,,,
2020,2020-08-27,19:00:00,3ª Eliminatória ,Jogos De Volta,Estádio Augusto Bauer,,0,5000,Brusque,Brasil Pelotas,,,,,,,1,0,,,0,,,,,,,,,,,,,,,,
2020,2020-08-27,21:30:00,3ª Eliminatória ,Jogos De Volta,Estádio Francisco Novelletto Neto,,0,10600,EC São José,Atlético-GO,Everton Vanoni,Vagner Mancini,125000,6150000,27.7,26.7,1,0,,,0,,,,,,,,,,,,,,,,
2020,2020-03-10,14:15:00,3ª Eliminatória ,Jogos De Ida,Estádio Olímpico Nilton Santos,,22833,46931,Botafogo,Paraná,Paulo Autuori,Allan Aal,12700000,3200000,24.3,24.8,1,0,,,0,,,,,,,,,,,,,,,,
2020,2020-03-11,18:15:00,3ª Eliminatória ,Jogos De Ida,Estádio Alfredo Jaconi ,,3433,23726,Juventude,América-RN,Marquinhos Santos,Roberto Fernandes,3980000,600000,30.1,29,1,1,,,0,,,,,,,,,,,,,,,,
2020,2020-03-11,18:15:00,3ª Eliminatória ,Jogos De Ida,Estádio Orlando Scarpelli,,8901,19908,Figueirense FC,Fluminense,Marcio Coelho,Odair Hellmann,4550000,25600000,28.4,28.6,1,0,,,0,,,,,,,,,,,,,,,,
2020,2020-03-11,18:15:00,3ª Eliminatória ,Jogos De Ida,Estádio Doutor Adhemar de Barros,,2799,20950,Ferroviária,América-MG,Sérgio Soares,Lisca,675000,2600000,30.2,26.4,0,0,,,0,,,,,,,,,,,,,,,,
2020,2020-03-11,20:30:00,3ª Eliminatória ,Jogos De Ida,Estádio Governador Magalhães Pinto,,13118,57483,Cruzeiro,CRB,Adilson Batista,Marcelo Cabo,7000000,3850000,25.4,28.8,0,2,,,0,,,,,,,,,,,,,,,,
2020,2020-03-11,20:30:00,3ª Eliminatória ,Jogos De Ida,Estádio Antonio Accioly,,4116,13000,Atlético-GO,EC São José,Eduardo Barroca,Everton Vanoni,8000000,125000,26.5,27.8,2,0,,,0,,,,,,,,,,,,,,,,
2020,2020-03-12,18:15:00,3ª Eliminatória ,Jogos De Ida,Estádio Governador Plácido Castelo,,17264,60326,Ceará SC,EC Vitória,Enderson Moreira,Geninho,9300000,2800000,30.3,25.2,1,0,,,0,,,,,,,,,,,,,,,,
2020,2020-03-12,18:15:00,3ª Eliminatória ,Jogos De Ida,Estádio Moisés Lucarelli,,3237,19728,Ponte Preta,Afogados,,,,,,,3,0,,,0,,,,,,,,,,,,,,,,
2020,2020-03-12,20:30:00,3ª Eliminatória ,Jogos De Ida,Estádio Bento Mendes de Freitas,,2776,21000,Brasil Pelotas,Brusque,,,,,,,0,1,,,0,,,,,,,,,,,,,,,,
2020,2020-03-12,20:30:00,3ª Eliminatória ,Jogos De Ida,Estádio São Januário,,17970,24584,Vasco da Gama,Goiás,Abel Braga,Ney Franco,19100000,12480000,27.8,28,0,1,,,0,,,,,,,,,,,,,,,,
2020,2020-02-18,20:30:00,2ª Eliminatória,Jogo Único,Estádio Salvador Venâncio da Costa,,2360,3000,Vitória-ES,Figueirense FC,,,,,,,0,1,,,0,,,,,,,,,,,,,,,,
2020,2020-02-20,20:30:00,2ª Eliminatória,Jogo Único,Estádio Augusto Bauer,,0,5000,Brusque,Remo,,,,,,,5,1,,,0,,,,,,,,,,,,,,,,
2020,2020-02-26,18:15:00,2ª Eliminatória,Jogo Único,Estádio Durival Britto e Silva,,6277,20083,Paraná,AD Bahia-BA,,,,,,,3,2,,,0,,,,,,,,,,,,,,,,
2020,2020-02-26,19:30:00,2ª Eliminatória,Jogo Único,Estádio Doutor Adhemar de Barros,,1310,20950,Ferroviária,Águia Negra,,,,,,,6,2,,,0,,,,,,,,,,,,,,,,
